"idGame","namePlayer","passes","fgmContested","fgaContested","pctFGContested","fgmUncontested","fgaUncontested","pctFGUncontested","fgmRimDefended","fgaRimDefended","pctFGRimDefended","distMiles","mphMean","orebChances","drebChances","trebChances","touches","astSecondary","ftAST","ast"
21900006,"Wilson Chandler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900006,"Dzanan Musa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900006,"Theo Pinson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900007,"Jae Crowder",33,1,1,1,2,10,0.2,0,1,0,2.29,4.18,2,6,8,51,0,0,2
21900007,"Jaren Jackson Jr.",37,4,5,0.8,1,7,0.143,6,11,0.545,2.24,4.12,3,6,9,57,0,1,0
21900007,"Jonas Valanciunas",25,3,4,0.75,0,3,0,3,4,0.75,1.14,3.94,1,4,5,37,0,0,1
21900007,"Dillon Brooks",18,1,2,0.5,2,5,0.4,1,1,1,1.38,4.19,1,7,8,27,0,0,1
21900007,"Ja Morant",50,4,7,0.571,2,5,0.4,0,0,0,2.09,4.62,2,6,8,73,0,1,4
21900007,"Brandon Clarke",38,1,3,0.333,2,3,0.667,3,5,0.6,2,4.67,4,6,10,44,1,1,1
21900007,"Tyus Jones",42,5,8,0.625,1,4,0.25,2,2,1,2.09,4.67,1,2,3,59,0,0,7
21900007,"Marko Guduric",21,2,3,0.667,2,5,0.4,1,2,0.5,2.04,4.55,0,2,2,35,0,1,2
21900007,"Grayson Allen",15,2,2,1,0,4,0,2,2,1,1.58,4.05,0,5,5,24,0,0,2
21900007,"Kyle Anderson",30,2,3,0.667,0,1,0,0,0,0,1.63,4.17,4,7,10,38,0,0,0
21900007,"Bruno Caboclo",0,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21900007,"De'Anthony Melton",6,0,0,0,0,0,0,1,2,0.5,0.22,4.19,0,0,0,6,0,0,2
21900007,"Solomon Hill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900007,"Justise Winslow",52,4,11,0.364,6,10,0.6,2,4,0.5,2.84,4.19,3,11,14,84,0,1,7
21900007,"Bam Adebayo",24,2,5,0.4,1,2,0.5,2,3,0.667,1.89,4.31,11,11,20,43,1,0,3
21900007,"Meyers Leonard",25,0,0,0,0,2,0,4,4,1,1.43,4.25,1,5,6,27,0,0,0
21900007,"Tyler Herro",37,3,6,0.5,3,8,0.375,4,4,1,2.9,4.73,0,11,11,55,0,1,1
21900007,"Kendrick Nunn",36,3,7,0.429,7,11,0.636,3,3,1,2.24,4.69,2,6,8,58,0,1,3
21900007,"Goran Dragic",42,2,3,0.667,2,6,0.333,2,2,1,2.09,4.44,0,4,4,62,0,0,3
21900007,"Derrick Jones Jr.",8,1,2,0.5,1,1,1,1,1,1,1.36,4.67,1,0,1,14,0,0,0
21900007,"Kelly Olynyk",39,0,1,0,1,2,0.5,2,5,0.4,1.8,4.32,3,9,11,44,1,1,0
21900007,"Duncan Robinson",15,0,0,0,1,5,0.2,2,2,1,1.91,4.39,0,3,3,21,0,0,1
21900007,"Chris Silva",15,0,0,0,3,3,1,1,4,0.25,0.98,4.59,5,7,10,21,0,0,0
21900007,"KZ Okpala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900007,"Daryl Macon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900007,"Jimmy Butler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900008,"Gordon Hayward",38,5,9,0.556,3,6,0.5,3,4,0.75,2.78,4.43,3,6,7,60,0,0,2
21900008,"Jayson Tatum",45,3,11,0.273,5,11,0.455,4,5,0.8,2.82,4.21,2,14,15,73,1,0,2
21900008,"Enes Kanter",16,4,6,0.667,1,2,0.5,3,4,0.75,1.79,3.96,7,5,12,27,0,0,2
21900008,"Jaylen Brown",23,1,4,0.25,2,2,1,1,3,0.333,1.58,4.28,4,11,14,31,0,0,0
21900008,"Kemba Walker",42,2,11,0.182,2,7,0.286,2,2,1,2.66,4.29,4,2,6,70,0,1,2
21900008,"Marcus Smart",46,1,2,0.5,1,5,0.2,3,4,0.75,2.43,4.09,3,7,10,56,0,2,8
21900008,"Daniel Theis",8,0,0,0,0,1,0,2,2,1,0.79,4.58,3,1,4,11,0,0,0
21900008,"Semi Ojeleye",14,0,0,0,0,1,0,1,2,0.5,0.79,4.41,0,1,1,15,0,0,0
21900008,"Carsen Edwards",0,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21900008,"Grant Williams",7,0,1,0,0,0,0,1,1,1,0.6,4.71,0,2,2,8,0,0,0
21900008,"Brad Wanamaker",0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
21900008,"Robert Williams III",6,1,3,0.333,1,1,1,2,2,1,0.83,4.25,2,4,6,10,0,0,1
21900008,"Vincent Poirier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900008,"Tobias Harris",46,2,4,0.5,4,7,0.571,1,1,1,2.92,4.34,5,16,18,62,0,0,4
21900008,"Al Horford",37,4,6,0.667,1,7,0.143,4,10,0.4,2.33,4.16,3,6,9,53,0,0,3
21900008,"Joel Embiid",39,4,6,0.667,1,8,0.125,5,8,0.625,1.56,3.71,7,14,19,58,1,1,3
21900008,"Josh Richardson",37,2,6,0.333,2,6,0.333,1,2,0.5,2.56,4.29,3,6,9,59,1,0,2
21900008,"Ben Simmons",61,8,10,0.8,3,6,0.5,1,2,0.5,2.58,4.12,5,8,12,89,0,0,9
21900008,"James Ennis III",15,0,0,0,0,3,0,2,2,1,1.44,4.68,2,6,8,22,0,0,0
21900008,"Matisse Thybulle",13,1,2,0.5,0,3,0,1,2,0.5,1.82,4.7,1,2,3,20,0,0,1
21900008,"Furkan Korkmaz",11,0,0,0,1,2,0.5,1,3,0.333,1.56,4.57,1,5,6,13,0,0,0
21900008,"Mike Scott",13,1,2,0.5,1,5,0.2,0,0,0,1.33,4.57,5,9,13,22,0,0,1
21900008,"Kyle O'Quinn",8,1,1,1,1,1,1,0,0,0,0.27,4.02,0,2,2,10,0,0,0
21900008,"Shake Milton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900008,"Raul Neto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900008,"Trey Burke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900009,"Isaac Bonga",19,3,3,1,1,2,0.5,1,1,1,1.73,4.32,2,3,5,28,0,0,2
21900009,"Rui Hachimura",21,4,6,0.667,3,9,0.333,0,0,0,2.03,4.54,8,6,14,38,0,0,0
21900009,"Thomas Bryant",42,2,4,0.5,1,4,0.25,0,0,0,2.18,3.92,7,9,15,58,0,0,3
21900009,"Bradley Beal",50,3,8,0.375,2,13,0.154,2,2,1,2.34,4.04,2,5,7,82,0,0,9
21900009,"Ish Smith",41,1,2,0.5,2,7,0.286,0,0,0,2.03,4.65,1,4,5,55,0,0,4
21900009,"Davis Bertans",29,1,2,0.5,1,6,0.167,3,4,0.75,2.34,4.4,2,5,6,44,0,0,0
21900009,"Admiral Schofield",10,0,0,0,0,2,0,2,2,1,1.22,4.25,0,0,0,14,0,0,1
21900009,"Jordan McRae",30,1,2,0.5,3,7,0.429,1,2,0.5,1.58,3.69,0,6,6,44,0,0,3
21900009,"Moritz Wagner",25,1,1,1,3,4,0.75,1,2,0.5,1.24,4.04,3,3,5,33,0,0,0
21900009,"Chris Chiozza",46,0,1,0,1,3,0.333,1,1,1,1.51,4.35,1,6,7,58,0,0,3
21900009,"Garrison Mathews",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21900009,"Justin Robinson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900009,"Isaiah Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900009,"Courtney Lee",5,1,1,1,1,4,0.25,0,1,0,1.13,4.15,0,0,0,11,0,0,0
21900009,"Kristaps Porzingis",38,1,3,0.333,5,13,0.385,2,3,0.667,2.16,4.09,0,8,8,60,0,0,2
21900009,"Maxi Kleber",31,0,0,0,0,1,0,2,5,0.4,1.74,4.03,5,7,11,37,0,0,1
21900009,"Delon Wright",28,0,1,0,1,1,1,3,4,0.75,1.7,4.42,2,4,6,32,0,1,3
21900009,"Luka Doncic",66,6,7,0.857,5,11,0.455,2,4,0.5,2.54,4.24,2,11,13,104,0,1,3
21900009,"Tim Hardaway Jr.",17,1,3,0.333,1,4,0.25,1,1,1,1.53,3.87,0,5,5,24,0,1,1
21900009,"Dorian Finney-Smith",32,0,1,0,1,3,0.333,3,5,0.6,2.39,4.12,5,8,13,44,0,0,1
21900009,"Jalen Brunson",48,2,4,0.5,1,6,0.167,0,0,0,1.83,4.16,3,6,9,67,1,0,3
21900009,"Seth Curry",18,1,2,0.5,2,3,0.667,0,0,0,1.48,4.1,0,5,5,27,0,1,1
21900009,"Justin Jackson",22,2,2,1,2,4,0.5,3,3,1,1.43,4.36,1,6,7,29,1,0,2
21900009,"J.J. Barea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
