"typeResult","idGame","namePlayer","fgContested","fg2Contested","fg3Contested","boxOutsPlayerTeamRebound","screenAssist","ptsScreenAssist","pts","deflections","chargesDrawn","looseBallsRecoveredOffense","looseBallsRecoveredDefense","looseBallsRecovered","boxOutsOffense","boxOutsDefense","boxOutsPlayerTREB","boxOuts"
"player",21900009,"Justin Jackson",5,2,3,"1",0,0,10,1,0,0,0,0,0,2,0,2
"player",21900010,"Julius Randle",5,4,1,"2",5,12,25,2,0,0,1,1,0,4,0,4
"player",21900010,"Marcus Morris Sr.",8,5,3,"3",0,0,26,3,0,0,1,1,0,4,1,4
"player",21900010,"Bobby Portis",14,12,2,"3",3,7,8,2,0,0,0,0,2,2,2,4
"player",21900010,"Allonzo Trier",2,2,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900010,"RJ Barrett",7,3,4,"0",0,0,21,2,0,0,2,2,0,1,0,1
"player",21900010,"Dennis Smith Jr.",3,1,2,"0",0,0,2,0,0,0,0,0,0,0,0,0
"player",21900010,"Taj Gibson",9,7,2,"1",1,3,2,1,0,0,1,1,0,4,0,4
"player",21900010,"Kevin Knox II",2,2,0,"0",0,0,13,0,0,1,1,2,0,1,0,1
"player",21900010,"Wayne Ellington",3,1,2,"0",0,0,3,0,0,0,0,0,0,0,0,0
"player",21900010,"Elfrid Payton",3,1,2,"0",0,0,11,4,0,0,1,1,0,0,0,0
"player",21900010,"Frank Ntilikina",0,0,0,"0",0,0,0,1,0,0,0,0,0,0,0,0
"player",21900010,"DeMar DeRozan",4,4,0,"0",0,0,13,1,0,0,0,0,0,0,0,0
"player",21900010,"LaMarcus Aldridge",16,10,6,"3",4,9,22,2,0,0,0,0,0,6,1,6
"player",21900010,"Trey Lyles",6,3,3,"3",1,2,8,0,0,0,1,1,0,7,2,7
"player",21900010,"Bryn Forbes",9,5,4,"2",0,0,20,0,0,0,0,0,0,2,0,2
"player",21900010,"Dejounte Murray",5,3,2,"1",0,0,18,3,0,0,1,1,0,1,0,1
"player",21900010,"Derrick White",3,3,0,"0",0,0,9,2,0,1,0,1,0,0,0,0
"player",21900010,"Rudy Gay",5,4,1,"1",2,4,13,1,0,1,0,1,0,2,1,2
"player",21900010,"Jakob Poeltl",13,9,4,"2",2,4,6,0,1,0,0,0,1,2,2,3
"player",21900010,"Marco Belinelli",6,1,5,"0",0,0,3,1,0,0,0,0,0,1,0,1
"player",21900010,"Patty Mills",0,0,0,"0",0,0,8,4,0,1,1,2,0,0,0,0
"player",21900011,"Terrance Ferguson",9,9,0,"0",0,0,2,1,0,0,0,0,0,0,0,0
"player",21900011,"Danilo Gallinari",3,1,2,"0",1,2,21,1,0,1,0,1,0,1,0,1
"player",21900011,"Steven Adams",14,13,1,"6",5,12,3,2,0,0,1,1,2,9,2,11
"player",21900011,"Shai Gilgeous-Alexander",7,6,1,"0",0,0,26,2,0,0,0,0,0,0,0,0
"player",21900011,"Chris Paul",0,0,0,"0",0,0,22,2,0,0,0,0,0,0,0,0
"player",21900011,"Dennis Schroder",2,2,0,"0",1,2,3,2,1,1,0,1,0,0,0,0
"player",21900011,"Nerlens Noel",3,2,1,"1",1,2,2,0,0,0,0,0,0,2,0,2
"player",21900011,"Darius Bazley",13,6,7,"1",0,0,0,0,0,0,0,0,0,4,0,4
"player",21900011,"Hamidou Diallo",2,2,0,"0",0,0,12,2,0,0,0,0,0,0,0,0
"player",21900011,"Mike Muscala",14,13,1,"1",0,0,4,0,0,0,0,0,0,4,1,4
"player",21900011,"Bojan Bogdanovic",6,4,2,"0",0,0,16,0,0,0,0,0,0,2,0,2
"player",21900011,"Royce O'Neale",4,3,1,"2",2,4,14,3,0,0,0,0,0,3,0,3
"player",21900011,"Rudy Gobert",19,15,4,"2",14,29,7,0,0,1,0,1,0,10,2,10
"player",21900011,"Donovan Mitchell",6,4,2,"1",1,2,32,2,1,1,0,1,0,1,0,1
"player",21900011,"Mike Conley",5,1,4,"0",0,0,5,4,0,0,0,0,0,0,0,0
"player",21900011,"Joe Ingles",8,2,6,"1",1,2,7,2,0,0,1,1,0,2,0,2
"player",21900011,"Emmanuel Mudiay",5,3,2,"0",0,0,12,0,0,0,0,0,0,0,0,0
"player",21900011,"Jeff Green",4,4,0,"1",0,0,5,0,0,0,0,0,0,1,0,1
"player",21900011,"Ed Davis",4,2,2,"2",0,0,2,0,0,0,0,0,0,4,2,4
"player",21900011,"Georges Niang",1,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900012,"Harrison Barnes",5,1,4,"2",0,0,12,0,0,0,1,1,1,2,2,3
"player",21900012,"Marvin Bagley III",11,8,3,"5",3,7,14,3,0,1,0,1,2,4,2,6
"player",21900012,"Dewayne Dedmon",6,4,2,"1",1,2,3,0,0,0,0,0,0,1,0,1
"player",21900012,"Buddy Hield",8,4,4,"1",0,0,28,3,0,0,0,0,0,1,0,1
"player",21900012,"De'Aaron Fox",2,0,2,"1",0,0,8,2,0,0,0,0,0,1,0,1
"player",21900012,"Bogdan Bogdanovic",3,2,1,"3",1,2,2,0,0,0,0,0,0,5,2,5
"player",21900012,"Richaun Holmes",6,5,1,"3",1,2,1,0,0,1,1,2,0,5,2,5
"player",21900012,"Cory Joseph",5,2,3,"0",0,0,10,1,0,1,0,1,0,1,0,1
"player",21900012,"Trevor Ariza",1,1,0,"1",0,0,7,1,0,1,0,1,0,1,0,1
"player",21900012,"Nemanja Bjelica",3,0,3,"1",0,0,5,3,0,1,0,1,0,5,0,5
"player",21900012,"Yogi Ferrell",0,0,0,"1",0,0,3,1,0,0,1,1,0,1,0,1
"player",21900012,"Caleb Swanigan",1,0,1,"1",0,0,1,1,0,0,0,0,2,0,1,2
"player",21900012,"Wenyen Gabriel",0,0,0,"0",0,0,1,0,0,0,0,0,0,0,0,0
"player",21900012,"Kelly Oubre Jr.",6,3,3,"1",0,0,21,3,0,0,0,0,0,1,0,1
"player",21900012,"Dario Saric",4,3,1,"0",2,5,7,1,0,0,1,1,0,1,0,1
"player",21900012,"Deandre Ayton",15,15,0,"5",4,8,18,1,0,1,3,4,2,4,2,6
"player",21900012,"Devin Booker",7,4,3,"0",1,2,22,3,0,1,0,1,0,0,0,0
"player",21900012,"Ricky Rubio",3,2,1,"1",0,0,11,4,0,1,0,1,0,1,0,1
"player",21900012,"Frank Kaminsky",5,3,2,"1",0,0,9,0,0,0,1,1,1,1,1,2
"player",21900012,"Aron Baynes",7,6,1,"3",1,3,5,0,0,0,0,0,1,2,1,3
"player",21900012,"Mikal Bridges",6,4,2,"0",0,0,5,3,0,0,1,1,0,1,0,1
"player",21900012,"Jevon Carter",3,2,1,"0",0,0,11,1,0,1,0,1,0,0,0,0
"player",21900012,"Tyler Johnson",6,2,4,"0",0,0,10,3,0,0,0,0,0,0,0,0
"player",21900012,"Cheick Diallo",0,0,0,"0",0,0,2,0,0,0,0,0,0,1,0,1
"player",21900012,"Jared Harper",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900012,"Elie Okobo",0,0,0,"0",0,0,3,0,0,0,0,0,0,0,0,0
"player",21900013,"Will Barton",6,4,2,"0",0,0,19,2,0,0,0,0,0,0,0,0
